,시즌,날짜,시간,구장,팀 선발,T,결과,상대팀,상대선발,T.1,승리투수,패전투수,세이브,관중,성적,연도,월,홈팀
0,정규,03월 28일,14시,잠실,마야,R,W 9:4,NC,찰리,R,마야,임정호,,21746,1-0-0,2015,3,두산
1,정규,03월 29일,14시,잠실,장원준,L,W 4:1,NC,손민한,R,장원준,손민한,윤명준,15814,2-0-0,2015,3,두산
8,정규,04월 07일,18시30분,잠실,유희관,L,L 4:17,넥센,피어밴드,L,피어밴드,유희관,,8038,3-4-0,2015,4,두산
9,정규,04월 08일,18시30분,잠실,진야곱,L,W 9:4,넥센,김대우,RU,진야곱,김대우,,7962,4-4-0,2015,4,두산
10,정규,04월 09일,18시30분,잠실,마야,R,W 1:0,넥센,밴헤켄,L,마야,밴헤켄,,8226,5-4-0,2015,4,두산
17,정규,04월 17일,18시30분,잠실,니퍼트,R,W 12:1,롯데,송승준,R,니퍼트,송승준,,16441,9-6-0,2015,4,두산
18,정규,04월 18일,17시,잠실,장원준,L,W 7:5,롯데,린드블럼,R,김강률,이정민,,26000,10-6-0,2015,4,두산
23,정규,04월 24일,18시30분,잠실,장원준,L,W 7:3,KIA,문경찬,R,장원준,문경찬,,19712,13-7-0,2015,4,두산
24,정규,04월 25일,17시,잠실,진야곱,L,L 4:5,KIA,서재응,R,윤석민,이재우,,26000,13-8-0,2015,4,두산
25,정규,04월 26일,14시,잠실,마야,R,W 4:3,KIA,홍건희,R,함덕주,윤석민,,26000,14-8-0,2015,4,두산
26,정규,04월 28일,18시30분,잠실,유희관,L,W 6:2,kt,정대현,L,유희관,정대현,,8098,15-8-0,2015,4,두산
28,정규,04월 30일,18시30분,잠실,니퍼트,R,W 4:3,kt,옥스프링,R,김강률,이성민,,10925,16-8-0,2015,4,두산
32,정규,05월 05일,14시,잠실,유희관,L,W 10:3,LG,루카스,R,유희관,루카스,,26000,17-10-0,2015,5,두산
33,정규,05월 06일,18시30분,잠실,니퍼트,R,W 5:4,LG,임정우,R,니퍼트,임정우,윤명준,16117,18-10-0,2015,5,두산
34,정규,05월 07일,18시30분,잠실,진야곱,L,L 4:6,LG,소사,R,이동현,윤명준,,16477,18-11-0,2015,5,두산
35,정규,05월 08일,18시30분,잠실,마야,R,L 6:10,한화,배영수,R,송창식,마야,권혁,17368,18-12-0,2015,5,두산
36,정규,05월 09일,17시,잠실,김수완,R,W 4:3,한화,송은범,R,이현호,권혁,,26000,19-12-0,2015,5,두산
37,정규,05월 10일,14시,잠실,유희관,L,W 6:0,한화,탈보트,R,유희관,탈보트,,26000,20-12-0,2015,5,두산
45,정규,05월 20일,18시30분,잠실,마야,R,L 6:25,삼성,피가로,R,피가로,마야,,15645,22-15-0,2015,5,두산
46,정규,05월 21일,18시30분,잠실,니퍼트,R,L 1:6,삼성,장원삼,L,장원삼,니퍼트,,17672,22-16-0,2015,5,두산
47,정규,05월 22일,18시30분,잠실,유희관,L,W 4:3,SK,박종훈,RU,유희관,박종훈,노경은,12645,23-16-0,2015,5,두산
48,정규,05월 23일,17시,잠실,장원준,L,W 9:0,SK,채병용,R,장원준,채병용,,21681,24-16-0,2015,5,두산
49,정규,05월 24일,17시,잠실,진야곱,L,W 7:2,SK,윤희상,R,진야곱,윤희상,,23220,25-16-0,2015,5,두산
56,정규,06월 02일,18시30분,잠실,니퍼트,R,L 1:9,KIA,서재응,R,서재응,니퍼트,,14117,28-20-0,2015,6,두산
57,정규,06월 03일,18시30분,잠실,유희관,L,W 8:1,KIA,유창식,L,유희관,유창식,,13691,29-20-0,2015,6,두산
58,정규,06월 04일,18시30분,잠실,장원준,L,L 0:6,KIA,양현종,L,양현종,장원준,,15063,29-21-0,2015,6,두산
