,시즌,날짜,시간,구장,팀 선발,T,결과,상대팀,상대선발,T.1,승리투수,패전투수,세이브,관중,성적,연도,월,홈팀
3,정규,04월 01일,18시30분,잠실,임정우,R,W 3:2,롯데,이상화,R,이동현,이정민,,14260,1-3-0,2015,4,LG
5,정규,04월 03일,18시30분,잠실,소사,R,L 3:7,삼성,클로이드,R,안지만,정찬헌,,12636,1-4-0,2015,4,LG
6,정규,04월 04일,17시,잠실,임지섭,L,W 3:2,삼성,피가로,R,임지섭,피가로,봉중근,20404,2-4-0,2015,4,LG
7,정규,04월 05일,14시,잠실,루카스,R,W 6:5,삼성,차우찬,L,정찬헌,임창용,,17472,3-4-0,2015,4,LG
11,정규,04월 10일,18시30분,잠실,임지섭,L,W 5:2,두산,니퍼트,R,김선규,김강률,봉중근,20228,5-6-0,2015,4,LG
12,정규,04월 11일,17시,잠실,루카스,R,L 6:9,두산,장원준,L,장원준,루카스,,26000,5-7-0,2015,4,LG
13,정규,04월 12일,14시,잠실,임정우,R,W 3:2,두산,유희관,L,이동현,윤명준,,22864,6-7-0,2015,4,LG
15,정규,04월 15일,18시30분,잠실,소사,R,L 4:9,KIA,양현종,L,양현종,소사,,21750,6-8-0,2015,4,LG
16,정규,04월 16일,18시30분,잠실,임지섭,L,W 10:5,KIA,임기준,L,윤지웅,최영필,,13903,7-8-0,2015,4,LG
20,정규,04월 21일,18시30분,잠실,소사,R,W 10:0,한화,유먼,L,소사,유먼,,20347,9-9-0,2015,4,LG
21,정규,04월 22일,18시30분,잠실,임지섭,L,L 2:5,한화,유창식,L,박정진,임지섭,권혁,20113,9-10-0,2015,4,LG
22,정규,04월 23일,18시30분,잠실,루카스,R,W 5:2,한화,배영수,R,루카스,배영수,이동현,21513,10-10-0,2015,4,LG
29,정규,05월 01일,18시30분,잠실,소사,R,L 1:3,넥센,송신영,R,송신영,소사,손승락,23220,13-14-0,2015,5,LG
30,정규,05월 02일,17시,잠실,장진용,R,L 3:4,넥센,밴헤켄,L,밴헤켄,장진용,손승락,22666,13-15-0,2015,5,LG
31,정규,05월 03일,14시,잠실,임지섭,L,L 2:6,넥센,한현희,RU,한현희,임지섭,,16151,13-16-0,2015,5,LG
39,정규,05월 13일,18시30분,잠실,소사,R,W 6:2,NC,찰리,R,소사,찰리,,11472,16-20-0,2015,5,LG
40,정규,05월 14일,18시30분,잠실,우규민,RU,D 0:0,NC,이재학,RU,,,,12485,16-20-1,2015,5,LG
41,정규,05월 15일,18시30분,잠실,임정우,R,L 2:5,SK,켈리,R,켈리,임정우,윤길현,12578,16-21-1,2015,5,LG
42,정규,05월 16일,17시,잠실,루카스,R,L 6:7,SK,박종훈,RU,문광은,정찬헌,윤길현,19574,16-22-1,2015,5,LG
43,정규,05월 17일,14시,잠실,류제국,R,W 6:4,SK,채병용,R,류제국,채병용,봉중근,16125,17-22-1,2015,5,LG
50,정규,05월 26일,18시30분,잠실,소사,R,W 5:2,kt,어윈,R,소사,어윈,,9156,20-26-1,2015,5,LG
51,정규,05월 27일,18시30분,잠실,우규민,RU,W 8:1,kt,정성곤,L,우규민,정성곤,,10920,21-26-1,2015,5,LG
52,정규,05월 28일,18시30분,잠실,루카스,R,L 0:4,kt,정대현,L,정대현,루카스,,10151,21-27-1,2015,5,LG
53,정규,05월 29일,18시30분,잠실,류제국,R,L 1:4,삼성,차우찬,L,차우찬,류제국,임창용,19408,21-28-1,2015,5,LG
54,정규,05월 30일,14시,잠실,장진용,R,L 1:4,삼성,클로이드,R,클로이드,임정우,임창용,18934,21-29-1,2015,5,LG
55,정규,05월 31일,14시,잠실,소사,R,L 3:9,삼성,피가로,R,피가로,소사,,22573,21-30-1,2015,5,LG
59,정규,06월 05일,18시30분,잠실,소사,R,W 3:2,SK,윤희상,R,임정우,윤길현,,7640,25-30-1,2015,6,LG
60,정규,06월 06일,17시,잠실,장진용,R,L 5:8,SK,밴와트,R,정우람,정찬헌,,12301,25-31-1,2015,6,LG
61,정규,06월 07일,17시,잠실,우규민,RU,L 0:3,SK,김광현,L,김광현,우규민,,10619,25-32-1,2015,6,LG
62,정규,06월 09일,18시30분,잠실,루카스,R,L 2:5,두산,유희관,L,유희관,루카스,,11384,25-33-1,2015,6,LG
63,정규,06월 10일,18시30분,잠실,류제국,R,W 5:1,두산,장원준,L,류제국,장원준,,11900,26-33-1,2015,6,LG
64,정규,06월 11일,18시30분,잠실,소사,R,L 0:6,두산,진야곱,L,진야곱,소사,,9316,26-34-1,2015,6,LG
