년도,구분,선발투수,구원투수,마무리투수,포수,1루수,2루수,3루수,유격수,외야수1,외야수2,외야수3,지명타자,최다구단
2015,드림,김광현(SK),정우람(SK),임창용(삼성),강민호(롯데),구자욱(삼성),나바로(삼성),황재균(롯데),김상수(삼성),최형우(삼성),김현수(두산),민병헌(두산),★이승엽(삼성),삼성 : 6
2015,나눔,양현종(KIA),박정진(한화),권 혁(한화), 김태군(NC),테임즈(NC),정근우(한화),김민성(넥센),김하성(넥센),이용규(한화),김주찬(KIA),유한준(넥센),이호준(NC),한화 : 4
2016,드림,니퍼트(두산),정재훈(두산),이현승(두산),양의지(두산),구자욱(삼성),오재원(두산),허경민(두산),김재호(두산),민병헌(두산),최형우(삼성),김문호(롯데),이승엽(삼성),두산 : 8
2016,나눔,신재영(넥센),송창식(한화),정우람(한화),박동원(넥센),테임즈(NC),정근우(한화),박석민(NC),김하성(넥센),★이용규(한화),나성범(NC),김주찬(KIA),로사리오(한화),한화 : 5
2017,드림,니퍼트(두산),이현승(두산),김재윤(KT),양의지(두산),이대호(롯데),최주환(두산),최 정(SK),김재호(두산),민병헌(두산),손아섭(롯데),구자욱(삼성),이승엽(삼성),두산 : 6
2017,나눔,양현종(KIA),김윤동(KIA),임창민(NC),김민식(KIA),로사리오(한화),안치홍(KIA),이범호(KIA),김선빈(KIA),이정후(넥센),★최형우(KIA),버나디나(KIA),김태균(한화),KIA : 8
2018,드림,린드블럼(두산),박치국(두산),함덕주(두산),★양의지(두산),이대호(롯데),오재원(두산),최 정(SK),김재호(두산),김재환(두산),박건우(두산),손아섭(롯데),최주환(두산),두산 : 9
2018,나눔,소 사(LG),서 균(한화),정우람(한화),유강남(LG),박병호(넥센),안치홍(KIA),송광민(한화),오지환(LG),★김현수(LG),이형종(LG),호 잉(한화),박용택(LG),LG : 6
2019,드림,김광현(SK),김태훈(SK),하재훈(SK),강민호(삼성),로 맥(SK),김상수(삼성),최 정(SK),김재호(두산),강백호(KT),구자욱(삼성),고종욱(SK),페르난데스(두산),SK :6
2019,나눔,윌 슨(LG),정우영(LG),고우석(LG),양의지(NC),박병호(키움),박민우(NC),김민성(LG),김하성(키움),김현수(LG),이정후(키움),이천웅(LG),이형종(LG),LG: 7
2020,드림,스트레일리(롯데),구승민(롯데),김원중(롯데),강민호(삼성),강백호(KT),김상수(삼성),최 정(SK),★마차도(롯데),로하스(KT),손아섭(롯데),김재환(두산),페르난데스(두산),롯데 : 5
2020,나눔,구창모(NC),박준표(KIA),조상우(키움),양의지(NC),강진성(NC),김선빈(KIA),김민성(LG),김하성(키움),이정후(키움),김현수(LG),터 커(KIA),나성범(NC),NC : 4
2021,드림,원태인(삼성),우규민(삼성),오승환(삼성),★강민호(삼성),오재일(삼성),김상수(삼성),이원석(삼성),김지찬(삼성),구자욱(삼성),추신수(SSG),박해민(삼성), 피렐라(삼성),삼성 : 11
2021,나눔,수아레즈(LG),정우영(LG),고우석(LG),양의지(NC),박병호(키움),정은원(한화),노시환(한화),오지환(LG),홍창기(LG),이정후(키움),김현수(LG),채은성(LG),LG : 7
